1 2 4 FH SS C UP16,11235,1,[1235]
1 2 4 FH SS C UP16,11445,0,Y
1 2 3 4 FH SS C UP16,12346,2,[2346]
1 2 3 4 FH SS C UP16,44556,1,[55]
1 2 3 4 FH SS C UP16,23455,0,5
1 2 3 4 5 FH SS C UP26,23336,2,[333]
1 2 3 4 5 FH SS C UP26,33336,1,[3333]
1 2 3 4 5 FH SS C UP26,23333,0,4K
1 2 3 4 5 4K FH SS C UP26,22456,2,[2456]
1 2 3 4 5 4K FH SS C UP26,23456,1,[23456]
1 2 3 4 5 4K FH SS C UP26,34456,0,Y
1 2 3 4 5 4K FH SS C Y UP26,13566,2,[66]
1 2 3 4 5 4K FH SS C Y UP26,13456,1,[3456]
1 2 3 4 5 4K FH SS C Y UP26,34556,0,6
1 2 3 4 5 6 4K FH SS C Y UP32,11335,2,[35]
1 2 3 4 5 6 4K FH SS C Y UP32,13356,1,[33]
1 2 3 4 5 6 4K FH SS C Y UP32,33556,0,LS
1 2 3 4 5 6 4K FH SS LS C Y UP32,12346,2,[6]
1 2 3 4 5 6 4K FH SS LS C Y UP32,14466,1,[66]
1 2 3 4 5 6 4K FH SS LS C Y UP32,14566,0,3K
UP0,23556,2,[55]
UP0,22245,1,[222]
UP0,12223,0,2
2 UP6,33455,2,[55]
2 UP6,11345,1,[345]
2 UP6,13456,0,SS
2 SS UP6,12356,2,[5]
2 SS UP6,22356,1,[2356]
2 SS UP6,23356,0,3
1 2 SS UP6,12566,2,[66]
1 2 SS UP6,11366,1,[66]
1 2 SS UP6,33466,0,C
1 2 3 SS UP12,11225,2,[5]
1 2 3 SS UP12,23456,1,[23456]
1 2 3 SS UP12,14456,0,4
1 2 3 4 SS UP20,12235,2,[5]
1 2 3 4 SS UP20,12225,1,[222]
1 2 3 4 SS UP20,22223,0,4K
1 2 3 4 4K SS UP20,12366,2,[66]
1 2 3 4 4K SS UP20,22346,1,[2346]
1 2 3 4 4K SS UP20,23466,0,C
1 2 3 4 4K SS C UP20,13455,2,[55]
1 2 3 4 4K SS C UP20,11345,1,[1345]
1 2 3 4 4K SS C UP20,13345,0,Y
1 2 3 4 5 4K SS C UP25,13335,2,[333]
1 2 3 4 5 4K SS C UP25,33346,1,[3336]
1 2 3 4 5 4K SS C UP25,33336,0,3K
1 2 3 4 5 3K 4K SS C UP25,13456,2,[3456]
1 2 3 4 5 3K 4K SS C UP25,24666,1,[666]
1 2 3 4 5 3K 4K SS C UP25,26666,0,6
1 2 3 4 5 6 3K 4K SS C UP49,12246,2,[24]
1 2 3 4 5 6 3K 4K SS C UP49,12235,1,[1235]
1 2 3 4 5 6 3K 4K SS C UP49,11122,0,FH
1 2 3 4 5 6 3K 4K FH SS C UP49,13345,2,[1345]
1 2 3 4 5 6 3K 4K FH SS C UP49,33335,1,[3333]
1 2 3 4 5 6 3K 4K FH SS C UP49,33334,0,Y
1 2 3 4 5 6 3K 4K FH SS C Y UP49,23356,2,[2356]
1 2 3 4 5 6 3K 4K FH SS C Y UP49,23566,1,[2356]
1 2 3 4 5 6 3K 4K FH SS C Y UP49,12356,0,LS
UP0,12334,2,[33]
UP0,23366,1,[66]
UP0,55566,0,FH
FH UP0,14445,2,[444]
FH UP0,23556,1,[55]
FH UP0,22355,0,2
2 FH UP4,46666,2,[6666]
2 FH UP4,26666,1,[6666]
2 FH UP4,56666,0,6
2 4K FH UP4,11233,2,[33]
2 4K FH UP4,23333,1,[3333]
2 4K FH UP4,33336,0,3
2 3 4K FH UP16,44456,2,[444]
2 3 4K FH UP16,44446,1,[4444]
2 3 4K FH UP16,34444,0,4
2 3 4 4K FH UP32,11246,2,[6]
2 3 4 4K FH UP32,12223,1,[]
2 3 4 4K FH UP32,12345,0,LS
2 3 4 4K FH LS UP32,22334,2,[]
2 3 4 4K FH LS UP32,23456,1,[2345]
2 3 4 4K FH LS UP32,23456,0,SS
2 3 4 4K FH SS LS UP32,22446,2,[6]
2 3 4 4K FH SS LS UP32,33566,1,[66]
2 3 4 4K FH SS LS UP32,35666,0,6
2 3 4 3K 4K FH SS LS UP32,22335,2,[5]
2 3 4 3K 4K FH SS LS UP32,11356,1,[11]
2 3 4 3K 4K FH SS LS UP32,11256,0,1
1 2 3 4 3K 4K FH SS LS UP34,11446,2,[6]
1 2 3 4 3K 4K FH SS LS UP34,34556,1,[55]
1 2 3 4 3K 4K FH SS LS UP34,13566,0,C
1 2 3 4 3K 4K FH SS LS C UP34,12235,2,[5]
1 2 3 4 3K 4K FH SS LS C UP34,11223,1,[]
1 2 3 4 3K 4K FH SS LS C UP34,22346,0,Y
1 2 3 4 3K 4K FH SS LS C Y UP34,22566,2,[66]
1 2 3 4 3K 4K FH SS LS C Y UP34,12366,1,[66]
1 2 3 4 3K 4K FH SS LS C Y UP34,14666,0,6
1 2 3 4 6 3K 4K FH SS LS C Y UP52,44566,2,[5]
1 2 3 4 6 3K 4K FH SS LS C Y UP52,12455,1,[55]
1 2 3 4 6 3K 4K FH SS LS C Y UP52,55556,0,5
UP0,12235,2,[22]
UP0,15556,1,[555]
UP0,33555,0,FH
FH UP0,23566,2,[66]
FH UP0,12366,1,[66]
FH UP0,33666,0,6
3K FH UP0,12356,2,[235]
3K FH UP0,23446,1,[234]
3K FH UP0,14446,0,4
4 3K FH UP12,14556,2,[55]
4 3K FH UP12,11345,1,[345]
4 3K FH UP12,11336,0,1
1 4 3K FH UP14,24456,2,[245]
1 4 3K FH UP14,11356,1,[356]
1 4 3K FH UP14,45556,0,5
1 4 5 3K FH UP29,22566,2,[66]
1 4 5 3K FH UP29,24566,1,[66]
1 4 5 3K FH UP29,23456,0,LS
1 4 5 3K FH LS UP29,12234,2,[22]
1 4 5 3K FH LS UP29,11466,1,[66]
1 4 5 3K FH LS UP29,24466,0,C
1 4 5 3K FH LS C UP29,11246,2,[6]
1 4 5 3K FH LS C UP29,11255,1,[2]
1 4 5 3K FH LS C UP29,12236,0,2
1 2 4 5 3K FH LS C UP33,24456,2,[6]
1 2 4 5 3K FH LS C UP33,44456,1,[444]
1 2 4 5 3K FH LS C UP33,44466,0,Y
1 2 4 5 6 3K FH LS C UP45,11266,2,[66]
1 2 4 5 6 3K FH LS C UP45,15666,1,[666]
1 2 4 5 6 3K FH LS C UP45,33666,0,3
1 2 3 4 5 6 3K FH LS C UP51,12335,2,[35]
1 2 3 4 5 6 3K FH LS C UP51,11336,1,[3]
1 2 3 4 5 6 3K FH LS C UP51,33555,0,Y
